dbkey,tmaxZeroZone,hastargetcl,caplettersworddif,urlsim,sWordRatio,onlycaplettersdif,category,hastargettag,nwordstarget,nersimilarity,hastargetnumber,same,langdif,sPositiveZoneRatio,hassourcenumber,numbersim,hastargetemail,hastargetnameentity,hassourceemail,hastargetpunctuation,cgscore,tagsim,hassourcenameentity,emailsim,tmaxOneZone,sNegativeZoneRatio,hastargeturl,hassourcecl,tWordRatio,smaxZeroZone,hassourcetag,hassourcepunctuation,punctsim,nwordssource,smaxOneZone,tPositiveZoneRatio,tNegativeZoneRatio,hassourceurl
19-19,0.0,1.0,0.0,1.0,1.0,0.0,0,0.0,39,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.72,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.71,29,1.0,1.0,0.0,0.0
20-20,0.05,1.0,0.266666666667,1.0,0.92,0.0,1,0.0,247,0.0,0.0,0.0,0.0,0.6,1.0,0.0,0.0,1.0,0.0,0.0,0.32,1.0,1.0,1.0,0.2,0.4,0.0,1.0,0.83,0.05,0.0,0.0,1.0,233,0.53,0.54,0.46,0.0
21-21,0.11,1.0,0.0,0.0,1.0,0.0,0,0.0,73,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.15,1.0,1.0,1.0,0.83,0.0,0.0,1.0,0.89,0.0,0.0,0.0,0.28,65,1.0,0.67,0.33,1.0
22-22,0.15,1.0,0.833333333333,1.0,0.58,0.666666666667,0,0.0,241,0.0,1.0,0.0,0.0,0.53,0.0,0.0,0.0,1.0,0.0,0.0,2.54,1.0,0.0,1.0,0.06,0.47,0.0,0.0,0.35,0.16,0.0,0.0,0.19,145,0.16,0.52,0.48,0.0
23-23,0.0,1.0,0.0,1.0,1.0,0.0,1,0.0,33,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.22,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,29,1.0,1.0,0.0,0.0
24-24,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.57,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9,0.0,0.0,0.0,0.0
25-25,0.09,1.0,0.375,1.0,1.0,0.0,1,0.0,59,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.74,1.0,1.0,1.0,0.45,0.0,0.0,1.0,0.91,0.0,0.0,0.0,0.82,43,1.0,0.67,0.33,0.0
26-26,0.2,1.0,0.0,1.0,1.0,0.0,1,0.0,22,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.18,1.0,1.0,1.0,0.6,0.0,0.0,1.0,0.8,0.0,0.0,0.0,1.0,23,1.0,0.67,0.33,0.0
27-27,0.14,1.0,0.0,1.0,1.0,0.0,1,0.0,42,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.26,1.0,1.0,1.0,0.57,0.0,0.0,1.0,0.86,0.0,0.0,0.0,1.0,37,1.0,0.67,0.33,0.0
28-28,0.04,1.0,0.0,1.0,1.0,0.0,1,0.0,265,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.89,1.0,1.0,1.0,0.43,0.0,0.0,1.0,0.8,0.0,0.0,0.0,0.99,184,1.0,0.54,0.46,0.0
29-29,0.19,1.0,0.1,1.0,0.55,0.4,0,0.0,161,0.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.64,1.0,1.0,1.0,0.26,0.5,0.0,1.0,0.59,0.09,0.0,0.0,0.8,144,0.15,0.5,0.5,0.0
30-30,0.0,1.0,0.7,1.0,0.81,0.5,0,0.0,88,0.0,1.0,0.0,0.0,0.57,1.0,0.0,0.0,1.0,0.0,0.0,0.26,1.0,1.0,1.0,1.0,0.43,0.0,1.0,1.0,0.1,0.0,0.0,0.24,96,0.33,1.0,0.0,0.0
31-31,0.13,1.0,0.0,1.0,1.0,0.0,1,0.0,30,0.0,1.0,0.0,0.0,1.0,1.0,0.33,0.0,1.0,0.0,0.0,0.24,1.0,1.0,1.0,0.5,0.0,0.0,1.0,0.88,0.0,0.0,0.0,1.0,27,1.0,0.67,0.33,0.0
32-32,0.11,1.0,0.25,1.0,1.0,0.0,1,0.0,184,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.65,1.0,1.0,1.0,0.75,0.0,0.0,1.0,0.89,0.0,0.0,0.0,1.0,126,1.0,0.67,0.33,0.0
33-33,0.0,1.0,0.5,1.0,1.0,0.0,1,0.0,43,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.39,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,36,1.0,1.0,0.0,0.0
34-34,0.07,1.0,0.0,1.0,1.0,0.0,1,0.0,71,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.05,1.0,1.0,1.0,0.5,0.0,0.0,1.0,0.86,0.0,0.0,0.0,0.71,68,1.0,0.6,0.4,0.0
35-35,0.0,0.0,0.0,1.0,1.0,0.0,0,0.0,8,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.63,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4,1.0,1.0,0.0,0.0
36-36,0.2,1.0,0.166666666667,1.0,0.95,0.0,1,0.0,210,0.0,0.0,0.0,0.0,0.67,0.0,1.0,0.0,1.0,0.0,0.0,2.9,1.0,1.0,1.0,0.16,0.33,0.0,1.0,0.59,0.05,0.0,0.0,1.0,107,0.6,0.55,0.45,0.0
37-37,0.14,1.0,0.0,1.0,0.78,0.0,0,0.0,54,0.0,0.0,0.0,0.0,0.6,0.0,1.0,0.0,1.0,0.0,0.0,2.05,1.0,1.0,1.0,0.36,0.4,0.0,1.0,0.79,0.17,0.0,0.0,0.71,102,0.39,0.6,0.4,0.0
38-38,0.06,1.0,0.0,1.0,0.94,0.0,1,0.0,90,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.63,1.0,1.0,1.0,0.71,0.5,0.0,1.0,0.94,0.06,0.0,0.0,0.96,75,0.94,0.67,0.33,0.0
39-39,0.0,1.0,0.0,1.0,1.0,0.0,1,0.0,70,0.666666666667,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.05,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,71,1.0,1.0,0.0,0.0
40-40,0.0,1.0,0.0,1.0,1.0,0.0,1,0.0,14,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.21,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,13,1.0,1.0,0.0,0.0
